carname,description
BMW M550i,"The BMW M550i is a high-performance sedan offering a blend of power and luxury. It features a potent engine, delivering 523 horsepower with a fuel efficiency of 9 liters per 100 kilometers. The M550i has an automatic transmission, four doors, and runs on gasoline. It boasts a top speed of 250 km/h."
BMW iX3,"The BMW iX3 is an all-electric SUV offering emission-free mobility with a focus on performance. It features an electric motor with a power output of 286 horsepower and an electric range of up to 460 kilometers. The iX3 has an automatic transmission, five doors, and boasts innovative electric technology. It has a top speed of 180 km/h."
BMW M440i xDrive,"The BMW M440i xDrive is a sporty and powerful coupe designed for enthusiasts seeking dynamic driving experiences. It features a potent engine, delivering 382 horsepower with a fuel efficiency of 8.5 liters per 100 kilometers. The M440i xDrive has an automatic transmission, two doors, and runs on gasoline. It boasts a top speed of 250 km/h."
BMW X2,"The BMW X2 is a compact and stylish SUV designed for urban adventures. It features a peppy engine, delivering 228 horsepower with a fuel efficiency of 7.5 liters per 100 kilometers. The X2 has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 227 km/h."
BMW 540i,"The BMW 540i is a dynamic and luxurious sedan known for its performance and advanced features. It features a potent engine, delivering 335 horsepower with a fuel efficiency of 8.5 liters per 100 kilometers. The 540i has an automatic transmission, four doors, and runs on gasoline. It boasts a top speed of 250 km/h."
BMW i4,"The BMW i4 is an all-electric sedan offering a blend of performance and sustainability. It features an electric motor with a power output ranging from 335 to 544 horsepower and an electric range of up to 590 kilometers. The i4 has an automatic transmission, four doors, and boasts innovative electric technology. It has a top speed of 200 km/h."
BMW M135i xDrive,"The BMW M135i xDrive is a sporty and powerful hatchback designed for enthusiasts seeking dynamic driving experiences. It features a potent engine, delivering 306 horsepower with a fuel efficiency of 7.5 liters per 100 kilometers. The M135i xDrive has an automatic transmission, five doors, and runs on gasoline. It boasts a top speed of 250 km/h."
BMW X8,"The BMW X8 is a luxurious and high-performance SUV offering a blend of power and exclusivity. It features a potent engine, delivering 523 horsepower with a fuel efficiency of 11 liters per 100 kilometers. The X8 has an automatic transmission, five doors, and runs on gasoline. It boasts a top speed of 250 km/h."
BMW iX,"The BMW iX is an all-electric SUV featuring innovative design and sustainable mobility. It features dual electric motors with a combined power of 516 horsepower and an electric range of up to 630 kilometers. The iX has an automatic transmission, five doors, and boasts cutting-edge electric technology. It has a top speed of 200 km/h."
BMW 420i,"The BMW 420i is a stylish and dynamic coupe known for its sporty design and performance. It features a peppy engine, delivering 181 horsepower with a fuel efficiency of 7 liters per 100 kilometers. The 420i has both automatic and manual transmission options, two doors, and runs on gasoline. It boasts a top speed of 240 km/h."
BMW iX5 Hydrogen,"The BMW iX5 Hydrogen is an innovative SUV featuring hydrogen fuel cell technology for emission-free mobility. It features a hydrogen fuel cell powertrain, delivering a combined power of 369 horsepower. The iX5 Hydrogen has an automatic transmission, five doors, and boasts cutting-edge hydrogen fuel cell technology. It has a top speed of 180 km/h."
BMW 530e,"The BMW 530e is a plug-in hybrid sedan offering a balance of performance and environmental sustainability. It features a hybrid powertrain, delivering a combined power of 288 horsepower with a fuel efficiency of 2 liters per 100 kilometers. The 530e has an automatic transmission, four doors, and runs on a combination of gasoline and electric power. It boasts a top speed of 230 km/h."
BMW X4 M,"The BMW X4 M is a high-performance SUV with a coupe-like design, offering a thrilling driving experience. It features a potent engine, delivering 473 horsepower with a fuel efficiency of 10.5 liters per 100 kilometers. The X4 M has an automatic transmission, five doors, and runs on gasoline. It boasts a top speed of 250 km/h."
BMW M340i xDrive,"The BMW M340i xDrive is a sporty and dynamic sedan offering a blend of performance and luxury. It features a potent engine, delivering 382 horsepower with a fuel efficiency of 8.5 liters per 100 kilometers. The M340i xDrive has an automatic transmission, four doors, and runs on gasoline. It boasts a top speed of 250 km/h."
BMW i3,"The BMW i3 is an all-electric compact car designed for urban mobility with a focus on sustainability. It features an electric motor with a power output ranging from 168 to 184 horsepower and an electric range of up to 260 kilometers. The i3 has an automatic transmission, five doors, and boasts innovative electric technology. It has a top speed of 160 km/h."
BMW X6 M,"The BMW X6 M is a high-performance SUV with a coupe-like design, offering a perfect blend of power and luxury. It features a potent engine, delivering 600 horsepower with a fuel efficiency of 13.5 liters per 100 kilometers. The X6 M has an automatic transmission, five doors, and runs on gasoline. It boasts a top speed of 290 km/h."
BMW 640i Gran Turismo,"The BMW 640i Gran Turismo is a luxurious and spacious sedan offering a blend of comfort and performance. It features a potent engine, delivering 335 horsepower with a fuel efficiency of 8.5 liters per 100 kilometers. The 640i Gran Turismo has an automatic transmission, four doors, and runs on gasoline. It boasts a top speed of 250 km/h."
BMW 218i Gran Coupe,"The BMW 218i Gran Coupe is a stylish and compact sedan offering a blend of performance and practicality. It features a peppy engine, delivering 140 horsepower with a fuel efficiency of 6 liters per 100 kilometers. The 218i Gran Coupe has both automatic and manual transmission options, four doors, and runs on gasoline. It boasts a top speed of 215 km/h."
Seat Ibiza,"The Seat Ibiza is a compact and stylish hatchback known for its fuel efficiency and urban agility. It features a peppy engine, delivering 95 horsepower with a fuel efficiency of 5.5 liters per 100 kilometers. The Ibiza has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 190 km/h."
Seat Leon,"The Seat Leon is a versatile and sporty hatchback offering a blend of performance and practicality. It features a potent engine, delivering 150 horsepower with a fuel efficiency of 6 liters per 100 kilometers. The Leon has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 215 km/h."
Seat Arona,"The Seat Arona is a compact and adventurous crossover designed for urban exploration. It features a fuel-efficient engine, delivering 95 horsepower with a fuel efficiency of 5 liters per 100 kilometers. The Arona has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 180 km/h."
Seat Ateca,"The Seat Ateca is a stylish and practical SUV with a focus on comfort and performance. It features a powerful engine, delivering 150 horsepower with a fuel efficiency of 6.5 liters per 100 kilometers. The Ateca has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 202 km/h."
Seat Tarraco,"The Seat Tarraco is a spacious and family-friendly SUV with three rows of seating. It features a potent engine, delivering 190 horsepower with a fuel efficiency of 7.5 liters per 100 kilometers. The Tarraco has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 210 km/h."
Seat Alhambra,"The Seat Alhambra is a practical and versatile MPV designed for family use. It features a reliable engine, delivering 150 horsepower with a fuel efficiency of 7 liters per 100 kilometers. The Alhambra has an automatic transmission, five doors, and runs on gasoline. It boasts a top speed of 198 km/h."
Seat Mii electric,"The Seat Mii electric is a compact and all-electric city car offering emission-free mobility. It features an electric motor with a power output of 83 horsepower and an electric range of up to 260 kilometers. The Mii electric has an automatic transmission, five doors, and boasts innovative electric technology. It has a top speed of 130 km/h."
Seat Leon Cupra,"The Seat Leon Cupra is a high-performance version of the Leon, designed for sporty driving enthusiasts. It features a turbocharged engine, delivering 300 horsepower with a fuel efficiency of 8 liters per 100 kilometers. The Leon Cupra has both automatic and manual transmission options, five doors, and runs on gasoline. It boasts a top speed of 250 km/h."
